Project_ID,Project_Type,Land_Area_Acres,Owners,Disputes,Objections,Pending_Documents,Pending_Approvals,Compensation_Pending,Current_Stage,Days_in_Current_Stage,Total_Days,Previous_Delays,Land_Record_Complexity,Target_Delayed
P0350,Airport,81.3,13,2,1,0,0,7,Objection,35,185,0,Low,0
P0351,Railway,210.3,13,2,3,6,1,7,Verification,32,197,0,Medium,1
P0352,Industrial,291,6,0,5,4,3,4,Objection,39,30,2,High,1
P0353,Airport,231.2,14,1,1,1,1,5,Objection,55,82,1,High,1
P0354,Highway,265.5,10,3,2,3,1,4,Verification,71,56,2,Low,1
P0355,Highway,98.7,17,2,5,5,1,6,Approval,10,124,1,Medium,1
P0356,Airport,129.6,13,2,2,5,0,7,Compensation,3,55,1,High,1
P0357,Highway,135.3,10,2,2,3,1,5,Notification,9,20,2,Low,1
P0358,Railway,201.5,17,0,4,3,1,4,Objection,64,195,1,High,1
P0359,Industrial,106.1,15,4,2,1,1,6,Verification,60,287,1,Low,1
P0360,Railway,256.8,14,0,2,2,0,10,Objection,10,199,1,Low,0
P0361,Railway,341.2,9,2,3,2,2,9,Verification,66,158,0,Low,0
P0362,Airport,207.2,14,1,4,5,0,5,Notification,10,114,0,Medium,1
P0363,Railway,126.3,19,0,4,1,1,4,Valuation,5,104,1,High,1
P0364,Railway,93.5,11,0,4,2,1,5,Approval,60,260,0,Medium,1
P0365,Industrial,81.4,16,2,5,1,1,6,Valuation,34,253,0,Low,1
P0366,Railway,41.5,11,2,2,1,1,5,Verification,70,226,0,Low,1
P0367,Industrial,137.7,12,0,0,3,4,6,Objection,51,95,0,Medium,0
P0368,Industrial,133.2,12,0,3,1,0,4,Approval,40,129,1,Medium,1
P0369,Highway,248.3,20,2,3,4,0,10,Notification,4,290,1,Medium,1
P0370,Highway,110.3,8,2,2,2,1,10,Compensation,11,94,0,Low,0
P0371,Highway,142.2,23,1,3,3,0,9,Approval,48,70,1,Medium,0
P0372,Highway,183.5,6,2,5,2,1,2,Objection,67,193,0,High,1
P0373,Highway,205.3,13,1,1,3,0,8,Valuation,51,63,0,Medium,1
P0374,Airport,233.1,12,3,2,0,0,8,Verification,31,274,0,Medium,1
P0375,Highway,173.5,12,1,4,2,1,13,Valuation,31,288,1,High,1
P0376,Highway,68.3,18,1,2,3,2,3,Approval,35,44,1,Medium,1
P0377,Dam,195.6,12,6,0,3,0,4,Compensation,30,266,0,Medium,1
P0378,Highway,105.6,12,1,5,3,1,7,Objection,28,77,0,Medium,1
P0379,Dam,298.4,20,1,0,2,1,5,Verification,31,96,1,Low,0
P0380,Highway,158.6,21,2,2,2,0,7,Objection,13,183,0,Medium,1
P0381,Highway,179.4,13,0,3,4,2,6,Objection,36,172,1,High,1
P0382,Airport,536.4,14,1,2,3,2,3,Compensation,50,70,1,Low,1
P0383,Airport,235.3,11,0,6,2,3,8,Approval,29,156,1,High,1
P0384,Industrial,193.6,12,0,5,5,0,13,Valuation,74,163,1,Medium,1
P0385,Dam,144.6,16,1,3,3,3,9,Objection,42,240,0,Low,1
P0386,Dam,71.9,6,3,4,2,1,8,Objection,33,39,0,Medium,0
P0387,Highway,138.7,14,2,5,3,1,7,Objection,67,192,2,Low,1
P0388,Highway,92.8,14,0,2,2,3,5,Verification,41,109,1,High,1
P0389,Dam,363.6,16,2,2,1,0,9,Objection,26,67,0,Medium,0
P0390,Dam,195,7,1,4,1,1,7,Objection,70,84,0,High,1
P0391,Industrial,292.5,18,3,4,3,1,8,Approval,25,190,1,Medium,1
P0392,Railway,108.4,11,2,7,2,2,5,Objection,63,146,0,Medium,1
P0393,Railway,96.9,9,1,6,3,2,5,Compensation,29,227,0,High,1
P0394,Dam,222.9,14,0,4,4,3,6,Compensation,18,225,0,Low,1
P0395,Highway,90.5,14,3,3,3,1,6,Objection,47,78,1,Medium,0
P0396,Industrial,120.8,7,3,5,1,0,11,Compensation,29,49,1,Low,1
P0397,Industrial,372.9,14,2,2,2,1,8,Approval,7,26,0,High,0
P0398,Railway,123.6,16,2,6,2,3,1,Verification,61,262,0,Medium,1
P0399,Dam,62.6,20,0,2,1,2,5,Compensation,74,126,1,High,1
P0400,Dam,48.6,9,0,6,4,0,7,Compensation,37,105,1,High,1
P0401,Highway,57.9,13,1,3,2,2,9,Valuation,72,43,1,Low,1
P0402,Industrial,301.8,13,1,2,2,3,9,Approval,48,26,2,Low,1
P0403,Railway,112.5,21,1,5,2,1,4,Compensation,58,161,0,Medium,1
P0404,Dam,527.3,17,1,3,1,1,11,Verification,26,151,1,Medium,1
P0405,Highway,343.3,8,2,2,2,2,7,Valuation,12,171,1,Low,1
P0406,Industrial,420.7,14,1,2,3,3,3,Objection,40,273,1,Low,1
P0407,Railway,269.2,6,2,1,2,2,8,Approval,72,101,0,Medium,1
P0408,Highway,216.6,18,0,4,1,2,8,Compensation,50,172,1,Low,1
P0409,Industrial,94.8,10,2,2,0,1,4,Objection,11,200,0,High,0
P0410,Highway,156.4,17,1,3,3,0,9,Approval,52,243,0,High,1
P0411,Highway,228.5,11,1,2,3,0,6,Valuation,71,18,1,Medium,1
P0412,Industrial,260.3,14,3,3,3,1,9,Compensation,50,71,2,Low,1
P0413,Industrial,76.2,14,1,2,2,2,1,Verification,41,42,1,Low,1
P0414,Railway,140,14,2,0,5,1,5,Approval,7,30,1,Medium,1
P0415,Airport,149.4,21,0,2,4,0,3,Verification,13,27,2,High,1
P0416,Railway,146,14,1,3,4,3,9,Objection,62,214,0,Low,1
P0417,Highway,82.6,14,1,1,1,3,12,Objection,29,198,0,Low,1
P0418,Highway,394.2,9,1,2,4,3,12,Valuation,9,295,0,Low,1
P0419,Airport,137.3,14,2,3,1,1,5,Valuation,62,172,0,Medium,1
P0420,Dam,86.3,13,1,1,3,1,7,Notification,52,273,0,Medium,1
P0421,Dam,399.4,15,2,4,3,0,4,Notification,69,171,2,Low,1
P0422,Dam,343.5,12,2,1,3,1,7,Valuation,71,108,0,Medium,1
P0423,Highway,169.7,9,2,5,1,0,5,Compensation,57,281,2,Medium,1
P0424,Railway,48.3,12,1,1,4,1,3,Objection,18,35,0,Medium,0
P0425,Highway,118.7,12,1,1,6,3,4,Verification,14,141,2,Medium,1
P0426,Railway,55,13,0,5,4,2,6,Valuation,29,126,1,High,1
P0427,Railway,207.8,17,1,0,0,2,8,Compensation,35,248,0,Medium,1
P0428,Industrial,113.8,13,0,2,2,0,2,Verification,57,48,1,Medium,1
P0429,Railway,154.2,7,1,2,1,0,10,Notification,54,94,1,High,1
P0430,Highway,380.4,5,2,4,1,1,4,Verification,39,97,0,High,0
P0431,Highway,109,5,1,2,3,0,9,Valuation,17,43,1,Low,1
P0432,Dam,202.9,13,0,4,2,1,7,Objection,67,145,1,Low,1
P0433,Airport,236.8,17,1,5,4,1,2,Valuation,70,25,0,High,1
P0434,Highway,296.8,7,2,2,2,1,2,Approval,5,76,3,Low,1
P0435,Highway,147.9,8,2,3,1,1,6,Compensation,74,47,0,High,1
P0436,Dam,139.1,13,0,4,3,2,8,Compensation,7,150,0,Low,1
P0437,Highway,137.3,9,2,5,2,3,3,Compensation,11,102,2,High,1
P0438,Dam,192.2,14,2,2,5,1,5,Approval,3,31,0,Medium,0
P0439,Dam,335.7,14,1,4,1,0,3,Approval,32,105,0,Medium,0
P0440,Highway,133.6,13,0,4,4,3,5,Objection,73,267,1,Low,1
P0441,Highway,28.9,9,1,2,4,1,2,Compensation,22,87,1,High,1
P0442,Industrial,251.3,21,2,3,0,0,6,Valuation,29,220,0,Low,0
P0443,Railway,162.8,15,2,0,2,0,9,Approval,65,275,0,Low,1
P0444,Railway,208.1,12,3,7,4,1,7,Valuation,33,192,1,Low,1
P0445,Dam,56.3,8,2,0,0,2,5,Notification,21,234,2,High,1
P0446,Industrial,114.1,16,1,0,1,0,10,Compensation,64,187,0,Medium,1
P0447,Industrial,240.2,13,0,1,1,3,3,Approval,9,179,1,Medium,0
P0448,Dam,70.4,19,2,1,3,1,4,Approval,39,234,0,Medium,1
P0449,Railway,202.7,11,0,0,1,3,7,Objection,73,175,2,High,1
P0450,Highway,153.5,17,2,1,1,1,6,Valuation,10,262,0,Medium,0
P0451,Dam,100.1,12,4,5,3,0,4,Objection,59,85,1,Medium,1
P0452,Railway,95.3,16,2,0,3,2,2,Objection,30,106,0,Medium,1
P0453,Railway,83,15,0,6,7,0,9,Valuation,19,259,0,Medium,1
P0454,Industrial,162.3,14,2,3,2,1,1,Notification,13,38,0,Low,0
P0455,Highway,173.1,9,1,4,2,0,7,Valuation,17,59,2,Low,1
P0456,Railway,126.1,13,1,0,2,0,5,Notification,32,203,1,Low,0
P0457,Highway,79.9,12,2,7,3,2,9,Objection,8,97,0,Low,1
P0458,Railway,199.5,11,3,4,9,1,5,Notification,14,236,1,Medium,1
P0459,Highway,253.8,13,0,0,3,1,6,Compensation,63,233,1,Medium,1
P0460,Highway,219.6,11,4,2,2,3,4,Notification,38,232,1,High,1
P0461,Highway,429.9,14,1,8,2,1,6,Notification,37,204,0,Low,1
P0462,Airport,140.8,13,0,3,1,1,2,Approval,69,81,0,Medium,0
P0463,Dam,318,14,0,2,2,0,4,Approval,65,45,0,Medium,0
P0464,Railway,106,16,2,3,2,2,8,Objection,42,264,0,Low,1
P0465,Industrial,96,11,0,4,1,3,8,Valuation,33,68,0,Medium,1
P0466,Railway,168,14,4,1,3,1,6,Notification,39,24,5,High,1
P0467,Highway,356.3,15,1,5,1,4,6,Compensation,7,180,0,Low,1
P0468,Industrial,132,16,0,1,0,0,6,Approval,6,299,2,Medium,1
P0469,Highway,56.3,14,3,5,2,0,7,Valuation,28,167,1,Low,1
P0470,Industrial,251.1,8,1,2,6,1,9,Compensation,26,46,0,Low,1
P0471,Highway,149.8,12,1,1,2,1,5,Notification,41,31,0,Medium,1
P0472,Industrial,185.2,13,1,0,1,3,10,Valuation,58,160,0,High,0
P0473,Highway,99,11,1,2,1,0,5,Compensation,56,89,0,Medium,1
P0474,Industrial,167.1,20,2,1,3,2,4,Verification,40,138,1,Medium,1
P0475,Railway,61.7,13,0,2,1,0,10,Compensation,56,66,0,High,1
P0476,Industrial,397.5,14,2,0,2,0,4,Compensation,21,204,0,Low,0
P0477,Highway,276.6,12,4,3,1,3,6,Notification,28,155,2,Medium,1
P0478,Railway,162.8,18,0,6,3,2,7,Valuation,54,102,0,Medium,1
P0479,Industrial,247.4,14,2,2,2,4,8,Notification,63,98,0,High,1
P0480,Railway,106.1,12,1,0,4,2,4,Notification,69,257,1,Medium,1
P0481,Airport,270,19,2,2,3,1,6,Verification,24,120,0,High,1
P0482,Airport,128.6,9,1,1,2,2,2,Compensation,19,106,0,Low,0
P0483,Railway,123.3,9,2,6,4,2,9,Valuation,13,35,0,Medium,1
P0484,Airport,86.5,11,2,4,2,2,6,Objection,41,20,1,Medium,1
P0485,Railway,198.1,14,0,1,3,1,3,Approval,63,235,0,Medium,1
P0486,Industrial,158.9,14,3,2,4,1,7,Notification,51,101,2,Medium,1
P0487,Highway,323.6,7,0,5,4,2,7,Notification,63,194,2,Low,1
P0488,Highway,80.4,13,3,2,2,1,6,Notification,14,260,1,Low,1
P0489,Industrial,198.6,11,2,3,4,4,7,Notification,15,188,0,Low,1
P0490,Industrial,291.2,17,1,2,1,2,5,Approval,60,127,0,High,1
P0491,Railway,533.8,15,5,1,3,2,8,Objection,13,85,2,High,1
P0492,Airport,174.8,18,0,5,7,1,4,Verification,66,172,0,Low,1
P0493,Highway,127.2,14,1,3,1,1,1,Objection,33,251,1,High,1
P0494,Highway,172.3,11,1,3,1,1,6,Approval,13,201,1,Low,0
P0495,Railway,309.7,5,0,2,2,1,3,Valuation,45,257,1,Low,1
P0496,Railway,309.6,18,1,5,0,3,6,Verification,38,180,1,Low,1
P0497,Railway,146.3,10,1,2,4,0,10,Verification,4,48,0,High,1
P0498,Highway,306.7,17,1,2,3,2,2,Valuation,63,269,0,Medium,1
P0499,Industrial,154.6,15,2,2,3,0,6,Compensation,38,234,3,Low,0
P0500,Industrial,245.9,11,2,0,1,0,6,Notification,51,46,1,Medium,1
P0501,Airport,211.5,11,1,3,1,0,4,Approval,29,271,2,Low,1
P0502,Railway,124.2,16,1,5,1,0,5,Valuation,14,247,1,Low,0
P0503,Highway,88.4,22,2,2,8,3,5,Objection,60,229,1,Low,1
P0504,Dam,295.4,8,0,2,0,3,7,Objection,8,256,2,Low,1
P0505,Airport,340.1,15,0,4,3,2,9,Compensation,46,259,1,High,1
P0506,Highway,196,10,2,5,2,3,4,Valuation,49,34,0,Medium,1
P0507,Industrial,154.5,11,1,4,6,1,5,Approval,25,224,1,Low,1
P0508,Dam,74.2,14,1,2,4,1,6,Compensation,28,224,1,Low,1
P0509,Industrial,291.3,10,1,2,2,2,2,Compensation,9,86,0,Low,0
P0510,Dam,183.6,10,0,2,1,1,8,Compensation,34,176,0,Low,1
P0511,Airport,134.6,12,0,2,2,0,2,Verification,35,192,1,Medium,1
P0512,Railway,249.7,12,2,2,2,1,5,Verification,22,25,0,Low,0
P0513,Industrial,66,6,0,3,1,1,12,Notification,71,280,0,Medium,1
P0514,Industrial,83.9,8,0,5,1,0,7,Approval,54,22,0,Low,0
P0515,Highway,103.8,11,1,3,2,2,5,Objection,44,289,0,Low,1
P0516,Highway,207.8,18,3,3,4,3,6,Objection,3,207,1,High,1
P0517,Railway,173.4,16,0,5,1,2,9,Notification,65,273,0,Low,1
P0518,Dam,221.4,15,3,4,1,5,1,Objection,9,67,2,Low,1
P0519,Industrial,280.6,13,3,1,4,3,9,Compensation,60,110,1,Low,1
P0520,Highway,225.7,13,2,2,5,2,7,Notification,52,106,2,Low,1
P0521,Railway,402,11,1,1,1,5,4,Notification,36,158,0,Low,1
P0522,Railway,280.3,17,1,5,1,1,3,Valuation,53,32,1,Low,0
P0523,Industrial,146.1,21,2,0,3,1,9,Verification,12,140,1,High,1
P0524,Dam,113.6,15,1,5,1,0,4,Approval,28,168,0,Medium,1
P0525,Dam,148.7,11,3,4,3,1,4,Approval,34,20,1,Medium,1
P0526,Railway,230.1,16,1,3,0,2,8,Verification,44,102,0,Medium,1
P0527,Railway,120.9,9,1,3,1,0,6,Compensation,64,283,1,Medium,1
P0528,Highway,233.5,15,1,3,4,3,12,Approval,14,79,0,Low,1
P0529,Highway,219.2,17,3,1,2,2,7,Objection,42,180,1,Low,1
P0530,Industrial,87.7,13,2,1,1,0,7,Objection,36,78,1,Low,1
P0531,Dam,277.4,15,0,2,2,1,9,Approval,72,284,0,Medium,1
P0532,Industrial,192.2,14,3,3,1,0,3,Valuation,29,159,1,Low,1
P0533,Industrial,391.5,15,2,3,0,3,5,Approval,10,283,0,Low,1
P0534,Railway,154.9,17,2,3,2,1,4,Notification,49,20,1,Low,1
P0535,Dam,131.1,15,3,4,4,2,3,Compensation,28,135,1,Low,1
P0536,Industrial,80.9,8,2,5,7,0,10,Notification,59,146,0,Low,1
P0537,Dam,80.1,18,1,2,5,2,4,Verification,9,203,1,Low,1
P0538,Highway,259.6,14,3,2,2,3,4,Compensation,28,223,0,Low,1
P0539,Railway,370.2,11,3,3,2,2,11,Compensation,61,56,1,Low,1
P0540,Highway,147.5,12,1,2,2,0,6,Objection,71,92,0,Low,1
P0541,Industrial,142,11,3,4,2,0,6,Compensation,49,159,0,Low,1
P0542,Airport,163,13,2,5,3,1,1,Valuation,37,185,0,Low,1
P0543,Highway,287.7,18,2,4,3,2,2,Approval,32,107,0,Medium,1
P0544,Airport,88.1,13,2,4,5,0,2,Notification,52,277,1,Low,1
P0545,Airport,179.1,7,2,5,7,1,6,Objection,26,37,0,Low,1
P0546,Railway,262.8,14,4,2,2,3,4,Objection,32,156,1,Low,1
P0547,Highway,206.4,12,1,5,3,0,6,Valuation,56,162,0,Low,1
P0548,Airport,23.2,15,1,1,3,1,10,Valuation,69,130,0,Low,1
P0549,Railway,226.4,12,1,2,2,2,6,Valuation,34,95,0,High,1
P0550,Dam,207.5,16,2,3,0,1,5,Valuation,10,39,1,High,1
P0551,Railway,317.9,11,0,3,1,2,9,Notification,52,129,1,Low,1
P0552,Industrial,354.4,19,1,3,3,1,5,Valuation,49,108,2,Medium,1
P0553,Railway,309.3,6,0,2,3,0,4,Objection,48,199,0,Low,1
P0554,Railway,163.5,12,4,5,2,0,7,Objection,37,297,1,Low,1
P0555,Industrial,54.7,9,2,3,3,2,8,Compensation,63,169,0,Medium,1
P0556,Railway,141.4,19,4,2,2,0,2,Approval,53,188,1,Low,1
P0557,Highway,160.6,8,2,3,4,0,3,Objection,65,187,1,Low,1
P0558,Highway,367.7,11,1,6,4,0,8,Objection,10,168,2,Medium,1
P0559,Dam,99.6,14,1,8,1,1,6,Notification,36,28,1,Medium,1
P0560,Airport,67.2,8,3,3,3,0,5,Compensation,27,142,1,High,1
P0561,Dam,121.4,6,3,0,5,3,5,Objection,46,106,1,Medium,1
P0562,Highway,102.9,16,1,5,1,1,2,Verification,45,285,0,Medium,1
P0563,Highway,63.1,12,0,3,1,0,7,Objection,52,236,1,Low,0
P0564,Highway,149.3,13,2,4,2,0,4,Approval,15,122,0,Low,0
P0565,Railway,164.2,17,3,3,2,2,12,Approval,48,42,0,Medium,1
P0566,Railway,60.8,16,2,2,1,2,7,Compensation,55,211,2,High,1
P0567,Railway,130.6,10,0,3,6,3,10,Compensation,65,214,2,Low,1
P0568,Railway,99,8,0,1,1,0,6,Valuation,4,168,0,High,0
P0569,Industrial,44.5,11,2,3,3,0,9,Notification,42,84,0,Low,1
P0570,Highway,167.2,12,0,0,3,4,6,Approval,25,174,1,Low,1
P0571,Railway,176.7,17,1,1,2,3,11,Verification,61,117,1,Low,1
P0572,Dam,99,17,1,3,2,0,9,Verification,71,250,1,Medium,1
P0573,Railway,276.1,11,0,1,0,2,6,Valuation,36,203,0,Medium,1
P0574,Airport,158.6,10,1,0,3,3,10,Notification,29,123,1,Low,1
P0575,Industrial,101.8,9,1,0,6,1,5,Notification,57,269,1,High,1
P0576,Industrial,58.4,11,2,4,2,1,7,Compensation,6,207,2,Medium,1
P0577,Highway,182,12,2,3,0,2,7,Objection,70,85,1,Medium,1
P0578,Industrial,207.3,18,0,4,4,2,8,Verification,74,283,0,Medium,1
P0579,Railway,117.4,11,3,7,0,0,2,Verification,72,223,2,Low,1
P0580,Highway,170.2,21,0,3,1,0,8,Verification,29,190,0,Medium,0
P0581,Railway,354.3,11,1,1,4,0,8,Verification,49,253,1,Low,1
P0582,Industrial,252.9,11,2,3,3,2,6,Approval,42,112,2,Low,1
P0583,Railway,35.9,16,3,3,0,1,4,Notification,29,103,0,Medium,1
P0584,Highway,101.1,14,0,2,1,0,4,Objection,9,266,0,High,0
P0585,Airport,145.2,13,1,7,6,1,10,Approval,25,113,2,Medium,1
P0586,Highway,163.7,21,1,2,2,2,7,Notification,66,168,1,Medium,1
P0587,Highway,172.3,17,1,4,4,0,5,Valuation,31,297,1,Medium,1
P0588,Highway,200,17,1,3,0,3,6,Verification,63,45,0,Low,0
P0589,Highway,148,13,1,2,3,3,10,Objection,46,145,2,High,1
P0590,Highway,158.4,9,1,0,5,4,8,Notification,71,230,1,Low,1
P0591,Highway,260,11,3,7,2,0,5,Valuation,29,29,0,Low,1
P0592,Airport,184,12,0,5,5,0,4,Verification,14,281,0,Low,1
P0593,Highway,76.1,9,2,5,1,2,5,Valuation,19,57,3,Low,1
P0594,Highway,166.6,9,1,1,3,2,10,Valuation,39,182,0,Low,0
P0595,Industrial,145.4,13,1,4,1,0,4,Approval,36,269,0,Low,1
P0596,Railway,44.3,16,3,4,1,1,4,Valuation,38,184,0,Low,1
P0597,Airport,171.5,9,2,2,2,1,4,Approval,8,273,2,Medium,1
P0598,Highway,82.4,7,0,1,5,3,6,Compensation,34,92,1,Medium,1
P0599,Highway,262.1,12,0,4,1,1,9,Approval,24,99,0,Medium,0
P0600,Highway,198.5,21,0,5,4,1,7,Valuation,12,163,1,Low,1
P0601,Highway,73.5,5,1,5,1,2,8,Notification,31,215,0,Medium,1
P0602,Highway,255.7,12,1,2,3,0,9,Valuation,13,91,1,Low,0
P0603,Highway,320.6,9,3,6,2,2,4,Valuation,68,264,0,Medium,1
P0604,Highway,135.3,12,1,3,1,1,3,Notification,58,67,0,Low,0
P0605,Highway,144.9,11,1,4,2,1,4,Verification,60,123,1,Medium,1
P0606,Railway,242.2,9,2,4,1,2,11,Objection,54,102,1,Low,1
P0607,Highway,307.8,18,2,2,1,1,13,Compensation,63,180,1,Medium,1
P0608,Railway,52.3,17,1,10,2,1,4,Verification,19,281,0,High,1
P0609,Railway,78.9,11,3,4,3,0,7,Valuation,32,107,1,Medium,1
P0610,Airport,122.8,14,0,3,0,0,6,Verification,74,187,1,Low,1
P0611,Highway,130.7,9,2,0,1,1,7,Objection,39,78,1,Low,0
P0612,Dam,238.4,17,3,2,1,3,8,Verification,7,140,1,High,1
P0613,Airport,308.6,8,3,2,5,0,4,Objection,28,244,0,Low,1
P0614,Highway,321.1,10,2,1,1,2,10,Verification,72,119,0,High,1
P0615,Industrial,51.5,14,2,4,1,2,3,Approval,3,223,0,Low,1
P0616,Industrial,95.5,15,3,4,1,3,8,Valuation,11,76,2,High,1
P0617,Highway,71.4,17,1,2,4,2,9,Objection,73,254,1,High,1
P0618,Highway,109.6,13,0,3,2,1,4,Compensation,66,75,3,Medium,1
P0619,Dam,95.3,9,1,6,3,0,9,Valuation,26,26,1,Low,1
P0620,Dam,198.1,18,1,2,1,1,5,Approval,7,151,1,Low,0
P0621,Highway,211.4,15,1,2,1,2,3,Verification,53,209,1,High,1
P0622,Highway,157.2,15,3,4,1,0,6,Valuation,40,88,1,High,1
P0623,Railway,148.9,6,0,5,2,4,4,Verification,31,150,1,Low,1
P0624,Railway,125.9,10,2,2,6,2,5,Verification,48,57,2,Low,1
P0625,Airport,134.6,7,1,2,2,2,6,Valuation,54,53,1,High,1
P0626,Railway,352.2,11,2,4,8,3,7,Objection,48,45,2,Medium,1
P0627,Railway,228.6,19,0,3,5,1,1,Objection,70,156,2,High,1
P0628,Dam,128.7,13,0,4,3,3,6,Valuation,61,58,0,High,1
P0629,Highway,147.2,11,2,3,5,0,7,Objection,12,202,0,High,1
P0630,Highway,200.7,10,0,2,0,5,6,Notification,6,16,1,Low,0
P0631,Dam,73.4,13,2,5,1,1,10,Verification,54,38,1,Low,1
P0632,Industrial,169.9,13,1,0,4,2,7,Valuation,20,118,0,Low,1
P0633,Railway,221.8,9,2,4,1,0,10,Compensation,53,76,1,High,1
P0634,Railway,206.4,19,2,3,0,0,5,Approval,25,167,2,Medium,1
P0635,Highway,96.7,12,1,1,1,1,15,Valuation,27,277,0,Low,1
P0636,Railway,107.7,16,2,4,2,0,5,Valuation,62,257,1,Low,1
P0637,Railway,41,18,0,4,0,1,8,Verification,39,135,1,Low,1
P0638,Highway,234.6,10,0,3,5,2,6,Approval,70,187,0,High,1
P0639,Highway,432.9,10,1,0,3,0,6,Verification,20,117,1,Medium,0
P0640,Railway,88.6,19,2,3,4,1,10,Compensation,31,174,0,Medium,1
P0641,Highway,279.4,12,1,5,1,2,10,Objection,32,271,1,Low,1
P0642,Highway,412.2,14,0,1,3,1,5,Valuation,9,216,0,High,1
P0643,Highway,118.7,17,1,5,1,4,9,Verification,43,59,0,Low,1
P0644,Highway,147.4,12,1,2,2,3,1,Compensation,39,78,0,Medium,0
P0645,Highway,180.7,11,1,2,5,3,7,Compensation,29,210,0,Low,1
P0646,Industrial,202.8,20,0,2,2,0,8,Notification,23,84,0,Low,0
P0647,Railway,186.1,17,0,3,2,1,7,Valuation,45,195,0,Low,1
P0648,Airport,124.2,15,1,5,5,1,8,Compensation,53,261,1,Medium,1
P0649,Dam,219.9,16,1,5,1,3,10,Objection,73,172,4,Medium,1
P0650,Railway,125.9,14,0,2,3,3,6,Verification,15,200,0,Low,0
P0651,Highway,193.2,16,1,3,2,2,3,Verification,55,245,1,Low,1
P0652,Railway,154.1,10,0,0,3,6,9,Notification,65,87,0,High,1
P0653,Railway,48.1,16,1,4,4,1,4,Objection,59,69,1,Low,1
P0654,Dam,301.7,12,2,2,3,0,3,Compensation,27,257,3,Low,1
P0655,Railway,109.4,18,1,8,5,0,4,Notification,15,229,0,Low,1
P0656,Highway,318,15,2,5,1,0,6,Compensation,39,29,1,High,1
P0657,Highway,273.4,12,4,4,1,2,5,Compensation,32,161,1,Low,1
P0658,Railway,177.6,10,1,3,1,4,10,Valuation,14,158,2,High,1
P0659,Airport,208.6,10,1,3,1,1,8,Approval,67,39,0,Low,0
P0660,Railway,222.6,17,2,1,2,0,6,Compensation,20,113,0,Low,0
P0661,Railway,139.6,9,2,1,3,2,11,Verification,64,193,0,Low,1
P0662,Industrial,143.5,14,1,3,4,0,8,Compensation,26,188,0,Medium,1
P0663,Airport,216.7,14,1,4,3,0,5,Notification,62,277,1,Low,1
P0664,Highway,155,15,2,2,1,1,3,Compensation,19,72,1,Medium,0
P0665,Highway,124.5,18,2,2,6,1,7,Verification,62,293,0,Low,1
P0666,Highway,97.6,11,2,4,1,1,4,Verification,11,159,0,Low,0
P0667,Highway,196.3,14,0,2,1,1,4,Notification,54,136,2,High,1
P0668,Highway,107.3,13,1,3,4,3,0,Verification,17,41,0,Medium,1
P0669,Highway,248.6,11,2,2,4,1,8,Objection,30,80,0,Low,1
P0670,Highway,260,17,3,1,3,1,10,Objection,11,115,0,Medium,1
P0671,Highway,207.7,12,1,4,2,2,7,Approval,58,108,0,Medium,1
P0672,Industrial,231.9,15,2,3,2,1,3,Objection,38,81,2,Low,1
P0673,Highway,208.1,14,0,2,3,1,10,Notification,58,264,1,Medium,1
P0674,Railway,240.9,10,1,4,2,1,4,Compensation,73,156,1,Low,1
P0675,Railway,235.4,11,3,2,2,0,10,Objection,22,281,1,Medium,1
P0676,Industrial,190.6,17,0,3,4,2,2,Approval,57,54,0,Medium,0
P0677,Highway,275.3,13,2,0,2,0,9,Valuation,62,229,1,Low,1
P0678,Railway,142.5,6,1,4,2,2,4,Valuation,37,145,0,Low,0
P0679,Industrial,99.4,8,3,4,2,1,6,Notification,3,15,0,Low,0
P0680,Industrial,96.4,13,0,3,1,2,9,Approval,47,23,1,High,1
P0681,Dam,130.7,14,2,0,3,0,3,Objection,71,158,1,Medium,1
P0682,Highway,43.9,12,1,0,4,2,8,Approval,42,152,0,Low,1
P0683,Highway,176.7,19,0,3,4,3,5,Verification,40,193,1,Low,1
P0684,Airport,224.2,14,1,2,2,2,6,Approval,26,292,1,Low,1
P0685,Industrial,258,15,2,3,2,0,5,Objection,6,158,1,Medium,1
P0686,Railway,54.5,14,2,2,3,1,9,Notification,71,204,0,Medium,1
P0687,Railway,98.3,13,1,6,3,0,12,Verification,15,284,2,High,1
P0688,Highway,244.5,13,0,4,8,2,7,Approval,23,201,0,Low,1
P0689,Dam,139.9,16,0,3,2,3,2,Valuation,34,168,0,Medium,1
P0690,Highway,221.5,7,1,4,1,1,9,Objection,40,186,0,Medium,1
P0691,Highway,71.1,15,3,6,6,1,5,Notification,34,261,1,High,1
P0692,Railway,316,10,1,3,5,1,9,Compensation,59,25,1,Low,1
P0693,Railway,67.7,19,0,0,4,4,6,Objection,50,61,0,Medium,1
P0694,Highway,173.8,11,0,0,3,1,7,Approval,32,280,0,Low,1
P0695,Highway,176.3,16,2,7,2,1,7,Notification,73,125,0,Low,1
P0696,Airport,116.8,13,0,5,3,0,7,Valuation,40,293,2,High,1
P0697,Highway,203.7,10,1,2,2,1,3,Verification,46,266,3,High,1
P0698,Railway,206.9,12,4,6,2,1,5,Approval,28,90,1,Medium,1
P0699,Highway,194.8,8,2,6,6,2,6,Notification,4,189,0,Low,1
P0700,Railway,115.5,10,0,2,4,0,11,Verification,45,123,0,High,1
